,id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,l4,l5,l6,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,currency,price_period,title,description,property_type,operation_type
10,nXQHehHQqZGIMb3UbAN00Q==,Propiedad,2020-10-02,2020-10-05,2020-10-02,-32.95195007,-60.6448822,Argentina,Santa Fe,Rosario,,,,2.0,,1.0,75.0,70.0,122900.0,USD,,3 De Febrero  1400 1°  - U$D 122.900 - Departamento en Venta,"Excelente Departamento de 2 Dormitorios con un baño.2 Dormitorios con excelente luminosidad orientación sur,Living comedor muy amplioCocina separadaBaño con ventilación NaturalLavaderoPatio de Uso comun con parrilla y quinchoSistema de camara de vigilancia y llavero inteligenteAscensor de ultima tecnologiaCalidad Bauen",Departamento,Venta
11,CGJlIoh3itrIWLbzADUuGg==,Propiedad,2020-06-24,9999-12-31,2020-06-24,-38.081171802,-57.5864149434,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,5.0,3.0,3.0,,,310000.0,USD,,VENTA | CHALET | ARENAS DEL SUR |,"OFRECEMOS A LA VENTA<br />
CHALET BARRIO PRIVADO 180M CUBIERTOS MAS GALERIA DE 30M.<br />
PISCINA.<br />
3 DORMITORIOS 1 EN SUITE.<br />
LOTE DE 800M.<br />
<br />
CONSULTANOS!<br /><br />
  <br />
 Ref#512694.",Casa,Venta
12,DTAo0Qrkg9lJbybsbJZ68A==,Propiedad,2020-11-11,9999-12-31,2020-11-11,-34.6814824,-58.6629727,Argentina,Bs.As. G.B.A. Zona Oeste,Morón,Castelar,,,3.0,2.0,1.0,90.0,90.0,140000.0,USD,Mensual,Casa - Castelar,"Excelente casa americana de tres ambientes, <br><br> Hermosa y amplia cocina comedor con parrilla interna, living<br><br>Entradas de autos para dos vehículos con techo de policarbonato,<br> baño, <br><br>2 dormitorios uno con placard,<br><br> Parque, pileta de fibra de 4x2 con cerramiento de algarrobo, <br><br>Aire acondicionado frío calor bgh smart, <br><br>En todos los ambientes, estufas tiro balanceado. <br><br>Reciclada  y modernizada a nuevo  desde perforación hasta aberturas . <br><br>Proxima colocacion de cloacas y agua corriente<br><br>Ampliacion de cocina con parrilla (no figura en los planos)<br><br>Propiedad alquilada hasta enero 2020 aproximado con un renta mensual de $15,200<br><br>Centro comercial a una cuadra y colectivos a Morón castelar e ituzaingo a una cuadra.<br> <br>EXCELENTE PROPIEDAD !!!NO DUDES EN CONSULTAR !!!IDEAL INVERSOR<br><br><br><br><br>Pablo Andres",Casa,Venta
13,RO+BUoCDPLJhzE2O5z4IIw==,Propiedad,2020-11-07,2021-03-27,2020-11-07,-34.5460854,-58.4581261,Argentina,Capital Federal,Nuñez,,,,4.0,3.0,3.0,,,675000.0,USD,,La Lucila - Departamento Venta USD 675.000,"Lindisimo Departamento 3 dormitorios , (uno en suite) y dependencia, en La Lucila con Vista Al Río!! actualmente desocupado, tenemos llaves.
Increíble vista al Río , muy lindo edificio con palier privado, hall de entrada, toilette, Living y comedor muy luminoso con increibles vistas al río. Cocina con comedor de diario , dependencia de servicio. 3 dormitorios , uno en suite , y un segundo baño completo. cochera cubierta . Edificio con grupo electrógeno. Edificio con seguridad. Expensas 13 mil

Colombi Balart
Teresa Feune De Colombi
CSI 5279

[Provista por Sistema Dixon | Código 44200298]",Departamento,Venta
14,UO7ZMKnX/Rn3LnDEzFzI6A==,Propiedad,2020-06-09,2020-12-21,2020-06-09,,,Argentina,Capital Federal,Villa del Parque,,,,3.0,2.0,1.0,,,80000.0,USD,,"Quinta en Venta en Parque, Chascom?s U$S 80000","Venta de Quinta 2 DORMITORIOS, baño, living, cocina comedor, parrilla, sobre lote de 10 mts de frente por 35 mts de fondo, a una cuadra laguna en Barrio Parque Chascomús. 

 XINTEL(STA-STA-84)",Casa de campo,Venta
15,Bfy/mfeTugCDiWUxc/CcKg==,Propiedad,2021-02-01,2021-02-18,2021-02-01,-34.6295637,-58.4341232,Argentina,Capital Federal,Parque Chacabuco,,,,1.0,,1.0,22.0,,16000.0,ARS,Mensual,Departamento - Parque Chacabuco,"DEPTO 1 AMBIENTE AL FRENTE, APTO PROFESIONAL, APTO SEGURO DE CAUCION FINAER<br><br><br><br>HALL/ENTR: 1.25 X 1                                          <br><br>AMBIENTE: 5.15 X 2.95  C/SPLIT<br><br>COCINA: 1.38 X 1.25                                          <br><br> BÑO/COMPL: 1 C/VANITORY/VENTANA          <br><br><br><br>CANT.PISOS: 2<br>DEPTOS X PISO: 4<br>ASCENSORES: 1<br><br><br>OBSERVACIONES:ENTRE AV. JOSE MARIA MORENO Y CRAIG/ FRENTE / MUY LUMINOSO / APTO PROFESIONAL / 1.C AV. JOSE MARIA MORENO 800 / 1.C AV.DIRECTORIO 500 / 1.C ESTACION JOSE MARIA MORENO SUBTE ""E""""/  Colectivos: 4, 7, 8, 25, 26, 42, 46, 53, 56, 57, 86, 88, 91, 96, 97, 103, 126, 134, 135, 180, 195",Departamento,Alquiler
16,vfQh0YzPDtIEBm5Rt+MHIA==,Propiedad,2020-06-29,2020-08-19,2020-06-29,-34.7570722,-58.4092927,Argentina,Bs.As. G.B.A. Zona Sur,Lomas de Zamora,Lomas de Zamora,,,,,,220.0,220.0,25000.0,ARS,Mensual,Local con deposito en excelente esquina,"LOCAL en esquina de 5,26x4,40; DEPOSITO 8,85x10,40 con altura de 3,40m; OFICINA de 3,00c4,25; GARAGE y GALPON con porton ; COCINA con bacha y mueble; 2 baños completos; ESCALERA a planta alta; GALPON con piso de cemento alisado con desnivel 4,20x9,25 + 3,80x3,60. Hay luz trifasica.<br>Excelente ubicación. Disponible a partir de Agosto<br>+35% anual mas impuestos y servicios <br><br><br>Cualquier consulta no dude en contactarnos: /9
<br>- VINELLI MORENO Propiedades -",Depósito,Alquiler
17,u+exth9CnyKUXIdwVKLKGA==,Propiedad,2021-06-01,2021-06-08,2021-06-01,-31.437927,-64.457173,Argentina,Córdoba,Santa María,,,,8.0,3.0,2.0,180.0,150.0,84900.0,USD,,CASA VENTA 3 DORM PILETA QUINCHO SAN NICOLAS ,"Corredor Responsable: Matiaz Ruiz Moreno - CPCPI 4740Contacto: Cecilia Manzano - MLS ID # 420581067-262RE/MAX ACTIVO y Matias Ruiz Moreno CPCPI 4740 venden:A 4 KM DE CARLOS PAZ, A 30 KM DEL CENTRO DE  CÓRDOBA CAPITALVILLA SAN NICOLAS CUENTA CON UN CENTRO COMERCIAL PROPIO LA CASA ESTA A 1 KM DE RUTA 20 CON ACCESO A TODAS LAS LINEAS DE COLECTIVOS ESTA A MEDIA CUADRA DE UNA PLAZA Y DE UNA ZONA DE RESERVA NATURAL.CUENTA CON :*3 dormitorios amplios y luminosos*2 baños completos*Cocina comedor integrado*Living*Escritorio*Lavadero*2 Cocheras*Patio con piletaEquipada con alarma X28. Aire Acondicionado y Termo SolarTIENE ESCRITURA E IMPUESTOS AL DÍA.EN UN LUGAR MUY TRANQUILO Y CERCA DE LA CIUDAD.IDEAL PARA VIVIR Y VACACIONAR ..O PARA UNA RENTA POR TEMPORADA.MUDATE A LA VIDA QUE QUERES...LLAMANOS!!!",Casa,Venta
18,b/N/KrK0bHLwCmtu7iGSEg==,Propiedad,2020-06-10,2020-06-16,2020-06-10,,,Argentina,Neuquén,Neuquén,,,,,3.0,2.0,,120.0,35000.0,ARS,,casa 3 DORM Y QUINCHO.-,"casa en planta baja, tres dorm, baño completo, comedor, cocina comedor y quincho con baño.- Zona residencial, frente a la Residencia de la costa.-",Casa,Alquiler
19,BN69SyIduTLWwLcq9h4htw==,Propiedad,2021-04-26,2021-06-05,2021-04-26,-34.5761876,-58.4395017,Argentina,Capital Federal,Colegiales,,,,6.0,,2.0,150.0,110.0,130000.0,ARS,Mensual,PH - Colegiales,"Zona Audiovisual   - PH con entrada independiente - 6 ambientes - Muy Buen Estado - hermoso Patio<br>El precio incluye ABL<br><br>Ideal para Productoras - Oficinas - Consultorios -  Atelier - Showroom <br>Son 110m2 Cubiertos divididos en 6 espacios <br>Recepcion 7x4 dos habitaciones en cada laterak de 3x2.6 y 3x3.3  habitacion al contrafrente 5x2,70  <br>Patio 4.70x6  y 2 oficinas mas de 4x6.4 2.80x3.5<br>Cocina bien equipada<br>Dos Baños<br><br>Matrícula 1297 - CUCICBA",PH,Alquiler
20,HkAtThjXtRoqNzXeixUm4w==,Propiedad,2020-07-16,2020-08-13,2020-07-16,-34.5075981,-58.478093,Argentina,Bs.As. G.B.A. Zona Norte,Vicente López,Olivos,,,3.0,2.0,3.0,146.0,107.0,700000.0,USD,,LINDISIMO DEPTO 3 AMB CON ESPECTACULAR VISTA AL RIO A LA VENTA EN PUERTO DE OLIVOS,"Excelente depto. 3 ambientes de 146 m2 en zona Puerto de Olivos.  Súper luminoso con lindísima VISTA AL RÍO!!! (orientación Este)VENTA CON RENTA (alquilado hasta Febrero 2021)Edificio Premium “Torre Mayor”, una exclusiva Torre de 15 pisos construida sobre importante terreno de 3.600 m2 con excelentes amenities!!! Ubicación privilegiada: Corrientes y el río, a pasos del Puerto de Olivos y Av. Del Libertador.Ingresamos por un palier privado que da paso a un amplio living comedor con salida a un ENORME balcón terraza perimetral de 40 m2 con deck y una INCREÍBLE VISTA AL RÍO!!!  Cómoda cocina integrada con buenos muebles sobre y bajo mesada y espacio de comedor diario 4.50 x 3.20. Lavadero separado. Toilette de recepción. Luego encontramos 2 amplios dormitorios, el principal con vestidor y baño en suite y un 2º dormitorio con otro baño completo. Ambos tienen salida al balcón corrido.Pisos de madera en living comedor y porcelanato en cocina y baños. Calefacción/refrigeración por splits frío/calor. Agua caliente central por caldera.Detalles: Doble entrada, principal y de servicio y aberturas DVH doble vidrio.Amenities: Seguridad 24 hs, gran terraza con vista panorámica al río, puerto y Ciudad, SUM con espacio para 100 personas equipado con cocina, enorme gimnasio en 2 plantas, micro-cine acústico, piscina semi-olímpica de 25 mts. y climatizada, laundry, sauna, ducha escocesa, salón de juegos, plaza de juegos para niños, jaula de golf y Green, cocheras de cortesía y más!!!Las cocheras y bauleras son aparte. Valores: Cochera cubierta US$ 40.000 / baulera US$ 10.000",Departamento,Venta
21,hg638qM5DFkKx7xvToEj+g==,Propiedad,2020-12-22,2021-01-14,2020-12-22,,,Argentina,Capital Federal,Nuñez,,,,3.0,2.0,2.0,69.0,65.0,48000.0,ARS,Mensual,Departamento - Nuñez,"Para los casos de alquiler de vivienda, el monto máximo de honorarios que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas honorarios inmobiliarios y gastos de gestoría de informes”<br><br>Alquiler 3 ambientes con cochera-  <br><br>Excelente departamento en Nuñez, muy luminoso, 2 dormitorios, 1 en suite; baño completo y toilette con ducha; cocina-comedor con lavadero independiente. Piso radiante y agua caliente por caldera individual, placares muy espaciosos. Todos los ambientes son externos !!! Balcón con parrilla. Cochera fija incluida. Ajuste 18%  semestral.  Disponible a partir de Noviembre - ",Departamento,Alquiler
22,YfeqQ//cNvNZ/2lCxdAkig==,Propiedad,2020-08-21,2020-09-17,2020-08-21,-34.5398416,-58.7191329,Argentina,Bs.As. G.B.A. Zona Norte,San Miguel,,,,1.0,0.0,,,,10000.0,ARS,,"Monoambiente en alquiler, San Miguel !!","Alquiler de Departamento MONOAMBIENTE, San Miguel !!!

DESCRIPCIÓN;

Amplio y luminoso monoambiente, con cocina separada !!

Baño completo con bañera !!

Ideal para 1/2 personas ! 

Excelente entorno y ubicación!

Consulte por requisitos para ingresar !!

Para mas información, contáctenos !!  

 XINTEL(GIA-GIA-1867)",Departamento,Alquiler
23,NJBkA4Z3Cpli87Iw8/gdow==,Propiedad,2021-02-23,9999-12-31,2021-02-23,-34.6180678,-58.3857667,Argentina,Capital Federal,Monserrat,,,,,,,,,4700000.0,USD,Mensual,Hotel - Monserrat-  cuatro estrellas -71 hab -2886m2cub,"Hotel 4 estrellas de 71 habitaciones, superficie cubierta 2886m2, ahora cerrado, estado impecable en Monserrat Av. Independencia al 1400,, <br><br>El Hotel se encuentra en el barrio histórico de Montserrat de la ciudad de Buenos Aires.��Ubicado a pocas cuadras de los principales centros turísticos de la ciudad como el Teatro Colón o El Obelisco, el hotel ofrece 70 cómodas y amplias habitaciones, suites y salones, además del desayuno buffet americano, terraza con solárium, Wi-Fi sin cargo en todo el hotel, acceso FREE al business center y asistencia médica las 24 horas.��<br><br><br>*podria tomar algun % en deptos terminados y/o algun tipo de financiacion*<br><br>Las medidas son aproximadas y al solo efecto orientativo. Las medidas reales surgirán del titulo de propiedad respectivo. 
<br>Los gastos (expensas, ABL) expresados refieren a la última información recabada y deberán confirmarse.
<br>
<br>Marisa Snatman
<br>CUCICBA 3921
<br>CMCPSI 5633",Otro,Venta
24,8Kc13SjGzDX7dPZ5tHx+Uw==,Propiedad,2020-06-30,2020-08-31,2020-06-30,-34.5636633,-58.4405558,Argentina,Capital Federal,Belgrano,,,,4.0,3.0,3.0,,,1080000.0,USD,,VENTA PISO 22 RECICLADO  CATEGORIA 3 DORM C/ DEP Y COCHERA,"Venta de piso alto de categoría 3 dormitorios con cochera en Belgrano, Capital Federal. 
 SANTIAGO JANNOT PROP. 4778-1600 - belgrano@jannot.com.ar 
 -- Impactante vista al río, a la costa del Uruguay, a Jardines de Palermo, Aeroparque e  Hipódromo. -- 
 Excelente torre de categoría ubicado en una de las mejores zonas de Belgrano. A 1 cuadra de Av. Del Libertador. Al ser torre y piso muy alto es muy luminoso en todos los ambientes. Totalmente reciclado. Excelentes detalles de categoría. Cochera fija y cubierta. Listo para ingresar a vivir. Palier privado. Tres dormitorios, principal en suite con vestidor. Toilette. Dos baños completos. Comedor diario. Amplio living comedor. Dependencia de servicio. Lavadero independiente. Doble circulación. Todas las orientaciones. Balcón aterrazado con cerramiento. Vigilancia 24 hs. Persianas barrio en todos los ambientes.  Grupo electrógeno-

  Detalles constructivos de relevancia:  

 - Living comedor: piso de madera Patagonia flooring. Ventanas de aluminio Aluar línea modena y A30 todo doble vidrio para garantizar aislamiento acústico y mejor climatización interna. Se dejan las cortinas. Aire acondicionado nuevo de 7000 frigorías frío/calor inverter. Iluminación led y spots. Sistemas de sonido instalado para colocar parlantes embutidos en pared.

 - Toilette: pisos porcelanato italiano de SBG. 

 - Dormitorio principal en suite: Pisos de madera Patagonia flooring. Persiana eléctrica. Aire acondicionado inverter frío/calor. 

 - Baño de la suite: pisos de porcelanato SBG italiano, jacuzzi doble, vidrio inteligente en ventana, ducha en el techo e iluminación en espejo. Inodoro eléctrico.

- Vestidor: cortina eléctrica, aire acondicionado frío calor, iluminación ¡¡¡solo ver para creer!!!

- Dos dormitorios: pisos de madera Patagonia flooring. Persiana eléctrica. Aire acondicionado inverter frío/calor. 

 - Segundo baño: pisos de porcelanato italiano SBG y Jacuzzi.

- Cocina: Herrajes Blum y puertas de rauvisio alemanas. Pisos de Porcelanato italiano de SBG. 

 - Lavadero independiente: doble termotanque de alta recuperación en paralelo.

 - Dep. de servicio: pisos de porcelanato y aire acondicionado frío/calor. 

 A nivel general:

 -Pisos Patagonia flooring de Lapacho.

- Iluminación por domótica marca I-Haus 

 - Ventanas de aluminio de vidrio doble en toda la propiedad. 

 - Todas las instalaciones de agua y electricidad son nuevas. 

 - Se realizó rebaje de techos para iluminación spot en toda la propiedad. La iluminación embutida se deja completa. No arañas o lámparas externas. 

 - Todas las puertas laqueadas con herrajes de bronce. 

 - Instalación por dentro de pared para todas las TV de la casa. 

 ""Las medidas, superficies y expensas consignadas en la presente son aproximadas, a solo título orientativo y no son vinculantes. Las medidas y superficies reales surgen del Título respectivo"". Aviso importante: la oferta de este inmueble es a solo título informativo, pues la venta de la propiedad esta supeditada a que el propietario cumplimente el trámite ante la afip para la obtención del nº de coti.

 XINTEL(JNT-JNT-3503)",Departamento,Venta
25,jTL4HLrSitjz06OqqYJfqQ==,Propiedad,2020-08-19,2020-09-04,2020-08-19,-34.5973529,-58.3799889,Argentina,Capital Federal,Retiro,,,,,,1.0,100.0,100.0,80000.0,ARS,Mensual,Local comercial desarrollado en Planta Baja.,"Zonificación: C2 <br><br>Frente lineal de 6 mts. aprox. - Frente antiguo estilo francés. - Antiguedad: Año 1945 aprox. - Local Comercial en una sola planta - Baño - Cocina - Piso de flotante - Buen estado - Al fondo nos encontramos con un patio interno de aire y luz. <br><br>Apto todo rubro. <br><br>- Sin expensas. <br>- Impuestos: A confirmar. <br><br>Valor de Alquiler + I.V.A + Gastos<br><br>Servicios Castro Cranwell y Weiss:<br>5% sobre el total de contrato de locación incluyendo opciones de prórroga de contrato, más IVA. 4% sobre total de operación de venta, más IVA.",Local comercial,Alquiler
